Adapt_PCName,Adapt_Account,Adapt_IP,Adapt_Facility,Adapt_System,Adapt_DHCP
F100170338,MRY,10.12.22.224,MRY,NCT,No
F100170390,DPA,10.35.56.54,DPA,C90,No
F100170448,SHV,10.42.16.33,SHV,SHV,No
F100170493,TPA,10.110.54.87,TPA,TPA,No
F100170498,ELP,10.43.32.64,ELP,ELP,No
F100170500,PAO,10.12.92.54,PAO,NCT,No
F100170501,PUB,10.17.56.73,PUB,D01,No
F100170511,GTF,10.19.32.81,GTF,GTF,No
F100170515,FSM,10.44.40.97,FSM,FSM,No
F100170518,CRW,10.131.48.64,CRW,CRW,Yes
F100170522,BJC,10.20.174.70,BJC,D01,No
F100170529,DLH,10.35.112.84,DLH,DLH,Yes
F100170532,CRP,10.41.56.95,CRP,CRP,No
F100170539,FWA,10.35.118.37,FWA,FWA,Yes
F100170541,SUX,10.80.208.70,SUX,SUX,No
F100170542,AVL TRACON,10.109.160.74,AVL,AVL,Yes
F100170544,APA,10.17.236.46,APA,D01,No
F100170586,T75,10.82.108.59,T75,T75,No
F100170617,FLL,10.110.28.92,FLL,MIA,No
F100170618,SFB,10.109.240.213,SFB,F11,No
F100170621,GSO,10.110.34.54,GSO,GSO,Ineligible
F100170629,SAT,10.41.80.120,SAT,SAT,No
F100170639,ROC,10.131.40.94,ROC,ROC,No
F100170730,ERI,10.131.26.66,ERI,BUF,No
F100170731,SHV,10.42.16.21,SHV,SHV,No
F100170734,SUX,10.80.208.54,SUX,SUX,No
F100170745,BFL TRACON,10.12.174.71,BFL,BFL,Yes
F100170772,M03,10.107.24.164,M03,M03,No
F100170813,TOL TRACON,10.35.30.66,TOL-R,TOL,No
F100170821,PRC,10.12.36.104,PRC,P50,No
F100170825,AZO,10.38.201.66,AZO,AZO,No
F100170838,TOL Tower,10.35.30.61,TOL-T,TOL,No
F100170844,HEF,10.131.28.67,HEF,PCT,No
F100170888,SNA,10.12.34.107,SNA,SCT,No
F100170893,HWD,10.12.80.103,HWD,NCT,No
F100170899,PCT,10.131.220.113,PCT,PCT,No
F100170915,ROA,10.131.58.213,ROA,ROA,No
F100170949,AGS TRACON,10.110.188.51,AGS,AGS,No
F100170987,BJC,10.20.174.64,BJC,D01,No
F100170992,ROW,10.42.28.69,ROW,ROW,No
F100170995,TRI,10.110.84.59,TRI,TRI,Yes
F100171026,CRW,10.131.48.65,CRW,CRW,Yes
F100171028,CLE,10.32.181.66,CLE-R,CLE,No
F100171030,BJC,10.20.174.67,BJC,D01,No
F100171031,AVL Tower,10.109.160.75,AVL,AVL,Yes
F100171036,ORL,10.110.78.216,ORL,F11,No
F100171129,A90,172.22.63.198,A90,A90,No
F100171164,SAT,10.41.80.117,SAT,SAT,No
F100171167,IAD,10.80.65.27,IAD,PCT,No
F100171181,BOI,10.20.172.73,BOI,BOI,No
F100171238,LAN,10.35.38.68,LAN,AZO,No
F100171240,TLH,10.111.24.81,TLH,TLH,No
F100171255,VRB,10.110.86.215,VRB,PBI,No
F100171264,GRR,10.35.28.69,GRR,AZO,No
F100171266,GSO,10.110.34.70,GSO,GSO,Yes
F100171270,PNS,10.111.150.67,PNS,P31,No
